Horizon,Accuracy,Precision,Recall,F1_score,AUC,correct_down,incorrect_down,correct_up,incorrect_up,OBV,%K,%D,MACD,Signal
1,0.7452471482889734,0.7245615805062398,0.7714932126696833,0.7723669309173274,0.8128528955364013,0.7118155619596542,0.2881844380403458,0.7714932126696833,0.22850678733031674,0.19667740179615684,0.1702397735899264,0.18290468126472048,0.2333994912462254,0.2167786521029709
2,0.7870722433460076,0.7376965639549976,0.8837209302325582,0.8189655172413793,0.8706387251408952,0.6713091922005571,0.3286908077994429,0.8837209302325582,0.11627906976744186,0.2067014011989802,0.1660907458361054,0.17378890106245842,0.23328001470002202,0.22013893720243394
3,0.8162230671736375,0.7990156161973057,0.8524945770065075,0.8442534908700322,0.8909052431088302,0.7652439024390244,0.2347560975609756,0.8524945770065075,0.1475054229934924,0.21881820973381977,0.16870180135437068,0.17200437245238065,0.22635634833388288,0.21411926812554608
4,0.8301647655259823,0.8107246690036263,0.8725701943844493,0.8577494692144373,0.907962209648995,0.7699386503067485,0.23006134969325154,0.8725701943844493,0.12742980561555076,0.23135422981847664,0.16393127039497218,0.16915094598940375,0.22011348907123618,0.2154500647259113
5,0.8491761723700887,0.8329545866307759,0.9117043121149897,0.8818272095332671,0.9130471735316916,0.7483443708609272,0.25165562913907286,0.9117043121149897,0.08829568788501027,0.23934339659324913,0.16408491191975458,0.17139306042088215,0.21280039712311366,0.21237823394300054
6,0.8428390367553865,0.8084807601147936,0.9092920353982301,0.8689217758985202,0.9141271237625063,0.7537091988130564,0.24629080118694363,0.9092920353982301,0.09070796460176991,0.24852281960938521,0.16279986877180613,0.16928765282165964,0.20917829229733226,0.21021136649981662
7,0.8479087452471483,0.8334215523525449,0.8805970149253731,0.8731501057082452,0.9086986940298507,0.8,0.2,0.8805970149253731,0.11940298507462686,0.2590420140500559,0.15379592261928296,0.16797190051555752,0.2033293890133992,0.21586077380170451
8,0.8884664131812421,0.8574514848279106,0.9279279279279279,0.9035087719298245,0.9435435435435436,0.8376811594202899,0.16231884057971013,0.9279279279279279,0.07207207207207207,0.2523469087503123,0.1646833061103062,0.1651449064920584,0.20431602507584035,0.21350885357148278
9,0.870722433460076,0.8567812654674438,0.9029535864978903,0.8935281837160752,0.9318866787221217,0.8222222222222222,0.17777777777777778,0.9029535864978903,0.0970464135021097,0.26442428450882954,0.16626261242850485,0.16183960325163504,0.19586741486165768,0.21160608494937294
10,0.861850443599493,0.8399422533580306,0.9177215189873418,0.888661899897855,0.9446152300582681,0.7777777777777778,0.2222222222222222,0.9177215189873418,0.08227848101265822,0.27710454087188746,0.15564928919268345,0.16632391857161502,0.1944973241495737,0.2064249272142404
11,0.8745247148288974,0.84336250091507,0.9222222222222223,0.8934337997847147,0.9513503769255981,0.8112094395280236,0.1887905604719764,0.9222222222222223,0.07777777777777778,0.2730627643873665,0.16119858363130732,0.15804138772267923,0.19719685344958804,0.21050041080905899
12,0.8821292775665399,0.8662992739048192,0.9154334038054969,0.9030239833159541,0.9475473010945487,0.8322784810126582,0.16772151898734178,0.9154334038054969,0.08456659619450317,0.27592211300355707,0.15784775994285152,0.15748979777461788,0.19518245190723174,0.21355787737174184
13,0.8795944233206591,0.8568434707055489,0.912472647702407,0.8977395048439182,0.9494773404339458,0.8343373493975904,0.16566265060240964,0.912472647702407,0.087527352297593,0.2855775912648438,0.14627943439024824,0.15586652530177947,0.1963224891222553,0.21595395992087332
14,0.8960709759188846,0.8924072976479261,0.9243027888446215,0.9188118811881189,0.9547350667018337,0.8466898954703833,0.15331010452961671,0.9243027888446215,0.07569721115537849,0.2824398568238873,0.1426955593958749,0.15793783506606307,0.2016339796993717,0.21529276901480313
15,0.8783269961977186,0.8573204176951141,0.9211087420042644,0.9000000000000001,0.9489838752665245,0.815625,0.184375,0.9211087420042644,0.07889125799573561,0.28948182310689774,0.14060833454601207,0.15132426270884058,0.2057273073463646,0.21285827229188503
16,0.8897338403041825,0.8794174362991742,0.9219712525667351,0.9116751269035532,0.9475944082570679,0.8377483443708609,0.16225165562913907,0.9219712525667351,0.07802874743326489,0.2967415215743809,0.14046682286335294,0.15244909953110777,0.2037571645918654,0.206585391439293
17,0.8808618504435995,0.8630499705681149,0.9246861924686193,0.9038854805725972,0.9533257544161767,0.8135048231511254,0.1864951768488746,0.9246861924686193,0.07531380753138076,0.30314099389921867,0.14057391389915314,0.15104666139132347,0.20068155361451262,0.20455687719579213
18,0.8986058301647655,0.8730993912120959,0.9463519313304721,0.9168399168399168,0.9572775349127679,0.8297213622291022,0.17027863777089783,0.9463519313304721,0.0536480686695279,0.2884078187625289,0.14066512300338627,0.1546259025702214,0.20614107751542668,0.2101600781484366
19,0.8922686945500634,0.8880308495059632,0.9094650205761317,0.9122807017543859,0.9551603308478996,0.8646864686468647,0.1353135313531353,0.9094650205761317,0.09053497942386832,0.2953057500536217,0.14328891160222357,0.15182504965585955,0.2010825049957144,0.20849778369258076
20,0.8757921419518377,0.8520116711161448,0.9276595744680851,0.8989690721649484,0.9575601947575535,0.799373040752351,0.2006269592476489,0.9276595744680851,0.07234042553191489,0.28693566937322096,0.14990799451769113,0.14838406682079286,0.20067658965281768,0.21409567963547743
21,0.8986058301647655,0.8786654537229502,0.9361702127659575,0.9166666666666666,0.9523977856332954,0.8432601880877743,0.15673981191222572,0.9361702127659575,0.06382978723404255,0.2927137481313799,0.14379720568691798,0.15080357458936453,0.2016479681717342,0.21103750342060335
22,0.8922686945500634,0.8865358282606149,0.9238476953907816,0.9155908639523337,0.9497028539838298,0.8379310344827586,0.16206896551724137,0.9238476953907816,0.07615230460921844,0.29094816499844617,0.14217459565246246,0.1501903706923383,0.209986616838184,0.20670025181856913
23,0.8910012674271229,0.8703630277568289,0.9512195121951219,0.9158512720156555,0.9595685855848458,0.7912457912457912,0.20875420875420875,0.9512195121951219,0.04878048780487805,0.28926511717583014,0.1409438449176427,0.1503698024984176,0.20880510027486487,0.21061613513324473
24,0.8846641318124208,0.864601745982066,0.9330543933054394,0.9074262461851474,0.9609338212541538,0.8102893890675241,0.18971061093247588,0.9330543933054394,0.06694560669456066,0.28605352210051266,0.14339889246511486,0.15410884713045167,0.20979773775772265,0.2066410005461983
25,0.9024081115335868,0.8870821646841306,0.9425051334702259,0.9226130653266331,0.9544650992017624,0.8377483443708609,0.16225165562913907,0.9425051334702259,0.057494866529774126,0.29203007189422037,0.14646664840858345,0.1468884692714733,0.20685383878725708,0.20776097163846585
26,0.8973384030418251,0.8831039802681034,0.9338842975206612,0.917766497461929,0.9615804091586506,0.839344262295082,0.16065573770491803,0.9338842975206612,0.06611570247933884,0.28909828369518403,0.1460574749859999,0.14307035808889443,0.21374621018804618,0.2080276730418755
27,0.8871989860583016,0.8625563792651756,0.9571428571428572,0.9133398247322299,0.9584328714763498,0.7725752508361204,0.22742474916387959,0.9571428571428572,0.04285714285714286,0.3025123151758947,0.14517475930109802,0.14620811157181493,0.20144865665620673,0.2046561572949856
28,0.8859315589353612,0.8757692078047928,0.9346534653465347,0.9129593810444874,0.9472493376098173,0.7992957746478874,0.2007042253521127,0.9346534653465347,0.06534653465346535,0.2929323631287769,0.1385904072111824,0.14977838895872037,0.2156569906492132,0.20304185005210704
29,0.8948035487959443,0.8887588497687358,0.9447619047619048,0.9227906976744188,0.9613780663780664,0.7954545454545454,0.20454545454545456,0.9447619047619048,0.05523809523809524,0.29776220649957397,0.14674127759196795,0.14828473057643005,0.20311577641956682,0.20409600891246132
30,0.8745247148288974,0.8471633175999059,0.9525773195876288,0.9032258064516129,0.9462561041779708,0.75,0.25,0.9525773195876288,0.04742268041237113,0.28405479148862667,0.14499495330917103,0.15913070965389245,0.20951310287380512,0.2023064426745048
